what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346934446857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346934451958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346934468360
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346934468371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1346934469895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1346934471719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1346934474388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346934525919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346934855375
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1346934856016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1346934858565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1346934861093
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1346934875157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346934879864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346934883167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935153488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935154813
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1346935162159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935162170
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935170641
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935170812
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935170870
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935170882
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935172903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935191912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935273943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935279274
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1346935288488
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1346935288494
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1346935288515
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1346935288541
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1346935288543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1346935297792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935297807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935303163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935310726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935312639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935469993
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935470138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935473223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935509776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935537295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935609231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935613959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935617423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935633941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935636374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935637714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935648637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935655207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935775935
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935775971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346935777152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346935810407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935834717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935837011
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935847715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935868776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935888418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935921859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346935922870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935922880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935927447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346935946173
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935960464
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935960542
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935960567
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1346935973489
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1346935973545
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935973563
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935975096
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935975114
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1346935981218
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935981250
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935981325
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346935981371
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346935999825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346936006398
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346936007699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936026134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936073655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936102271
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1346936110497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936222827
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346936223018
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346936247000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936255542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936322039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936324047
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1346936334709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936335293
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1346936335356
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346936335579
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1346936335801
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1346936335819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346936335850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346936406928
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346936460883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936538478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936850656
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346936850693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936857799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936923679
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1346936926061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936931866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346937349898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1346937380377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937380420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937385417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1346937397836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937397853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937412463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937624528
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346937624666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937644066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937676604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937684078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937709896
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346937711210
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346937711229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937737227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937759569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937768839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937772297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937785744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346937905004
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346937905216
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1346937906435
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1346937915756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938006176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938154262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938161349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938163588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938169361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938580706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938587461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938890938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346938915785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939673892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939677017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939680233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939684296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939710504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939714276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939734910
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346939735078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346939735161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346939789193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939792954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346939796387
